accuracy,sensitivity,specificity,precision,f1_score,model
0.9769955277442932,0.992412908741184,0.9627825005183496,0.9627825005183496,0.9773731845927173,experiment_20230711_223049
0.9768885374069214,0.992412908741184,0.9625829187396352,0.9625829187396352,0.9772703356834683,experiment_20230711_223049
0.9769955277442932,0.992412908741184,0.9627825005183496,0.9627825005183496,0.9773731845927173,experiment_20230711_223049
0.977102518081665,0.992412908741184,0.9629821650767316,0.9629821650767316,0.9774760551520892,experiment_20230711_223049
0.9772095084190369,0.992626629621714,0.9629898403483309,0.9629898403483309,0.977583666596506,experiment_20230711_223049
0.9769955277442932,0.992519769181449,0.9626865671641791,0.9626865671641791,0.9773755656108597,experiment_20230711_223049
0.9770489931106567,0.992626629621714,0.9626904342418904,0.9626904342418904,0.977429368127532,experiment_20230711_223049
0.9770489931106567,0.992412908741184,0.9628823224468637,0.9628823224468637,0.9774246171657107,experiment_20230711_223049
0.9771559834480286,0.9927334900619791,0.9627940719245518,0.9627940719245518,0.9775345925185458,experiment_20230711_223049
0.976032555103302,0.9903825603761488,0.9628090587990858,0.9628090587990858,0.976401179941003,experiment_20230711_223049
