accuracy,sensitivity,specificity,precision,f1_score,model
0.9768885374069214,0.992199187860654,0.9627747822480298,0.9627747822480298,0.9772655509946322,experiment_20230711_222532
0.9769420027732849,0.992306048300919,0.9627786417833074,0.9627786417833074,0.9773193706256906,experiment_20230711_222532
0.9769955277442932,0.992306048300919,0.9628784736623808,0.9628784736623808,0.9773708030733607,experiment_20230711_222532
0.9769420027732849,0.992199187860654,0.9628746240796433,0.9628746240796433,0.9773169833166675,experiment_20230711_222532
0.9769955277442932,0.992306048300919,0.9628784736623808,0.9628784736623808,0.9773708030733607,experiment_20230711_222532
0.9769420027732849,0.992306048300919,0.9627786417833074,0.9627786417833074,0.9773193706256906,experiment_20230711_222532
0.9768885374069214,0.992199187860654,0.9627747822480298,0.9627747822480298,0.9772655509946322,experiment_20230711_222532
0.9768885374069214,0.992199187860654,0.9627747822480298,0.9627747822480298,0.9772655509946322,experiment_20230711_222532
0.9768885374069214,0.992199187860654,0.9627747822480298,0.9627747822480298,0.9772655509946322,experiment_20230711_222532
0.9769420027732849,0.992199187860654,0.9628746240796433,0.9628746240796433,0.9773169833166675,experiment_20230711_222532
