accuracy,sensitivity,specificity,precision,f1_score,model
0.9770489931106567,0.992519769181449,0.9627863584534052,0.9627863584534052,0.9774269928966062,experiment_20230711_222914
0.9768885374069214,0.992092327420389,0.9628707736984028,0.9628707736984028,0.9772631578947368,experiment_20230711_222914
0.9769420027732849,0.992306048300919,0.9627786417833074,0.9627786417833074,0.9773193706256906,experiment_20230711_222914
0.9768350124359131,0.992092327420389,0.962770921912268,0.962770921912268,0.9772117256986474,experiment_20230711_222914
0.9768885374069214,0.992199187860654,0.9627747822480298,0.9627747822480298,0.9772655509946322,experiment_20230711_222914
0.9767280220985413,0.991771746099594,0.9628592177611786,0.9628592177611786,0.9771016476285729,experiment_20230711_222914
0.9768885374069214,0.9919854669801239,0.9629668049792531,0.9629668049792531,0.977260764290978,experiment_20230711_222914
0.9768350124359131,0.992092327420389,0.962770921912268,0.962770921912268,0.9772117256986474,experiment_20230711_222914
0.9769420027732849,0.991771746099594,0.9632589517384536,0.9632589517384536,0.977307429052809,experiment_20230711_222914
0.9767814874649048,0.9919854669801239,0.9627670607757727,0.9627670607757727,0.9771578947368421,experiment_20230711_222914
