accuracy,sensitivity,specificity,precision,f1_score,model
0.9768350124359131,0.9915580252190639,0.9632513235752103,0.9632513235752103,0.9771997261860882,experiment_20230711_222446
0.9768350124359131,0.9919854669801239,0.962866922518411,0.962866922518411,0.977209326806674,experiment_20230711_222446
0.9768885374069214,0.9916648856593289,0.9632551380527299,0.9632551380527299,0.9772535804549284,experiment_20230711_222446
0.9767814874649048,0.991771746099594,0.9629591201494085,0.9629591201494085,0.9771530848599705,experiment_20230711_222446
0.9768885374069214,0.9916648856593289,0.9632551380527299,0.9632551380527299,0.9772535804549284,experiment_20230711_222446
0.9767814874649048,0.9915580252190639,0.9631513390076811,0.9631513390076811,0.9771482729570345,experiment_20230711_222446
0.9766210317611694,0.9911305834580039,0.963236057742237,0.963236057742237,0.9769842523832095,experiment_20230711_222446
0.9768350124359131,0.991771746099594,0.9630590432707274,0.9630590432707274,0.9772045275072387,experiment_20230711_222446
0.976674497127533,0.9911305834580039,0.9633361030328209,0.9633361030328209,0.9770357105235437,experiment_20230711_222446
0.9768885374069214,0.9919854669801239,0.9629668049792531,0.9629668049792531,0.977260764290978,experiment_20230711_222446
