model,count,mean,std,min,25%,50%,75%,max
Model 1,10.0,0.9768029153347015,9.163652045717915e-05,0.9766210317611694,0.9767814874649048,0.9768350124359132,0.9768751561641693,0.9768885374069214
Model 2,10.0,0.9769313216209412,4.219420245919706e-05,0.9768885374069214,0.9768885374069214,0.9769420027732848,0.9769420027732848,0.9769955277442932
Model 3,10.0,0.9770222663879394,8.07332693472506e-05,0.9768885374069214,0.9769955277442932,0.9769955277442932,0.977089136838913,0.9771559834480286
Model 4,10.0,0.9768778145313263,9.022688833326312e-05,0.9767280220985411,0.9768350124359132,0.9768885374069214,0.9769286364316939,0.9770489931106568
Model 5,10.0,0.9769473671913147,0.0003340436824517304,0.976032555103302,0.9769955277442932,0.977022260427475,0.977089136838913,0.9772095084190368
