model,count,mean,std,min,25%,50%,75%,max
Model 1,10.0,0.963133699038121,0.00015991694389828158,0.962866922518411,0.9629898645521218,0.9631936983749592,0.9632541844333501,0.9633361030328208
Model 2,10.0,0.9628162608042782,5.192482519164442e-05,0.9627747822480298,0.9627747822480298,0.9627786417833074,0.9628746240796432,0.9628784736623808
Model 3,10.0,0.9628516540711118,0.00016368191254791825,0.9625906735751296,0.9627767118156098,0.9628343446255518,0.9629485652606113,0.9631742738589212
Model 4,10.0,0.9628604435262339,0.00015437915929263484,0.9627670607757728,0.9627718869962084,0.9627825001183563,0.9628678847140968,0.9632589517384536
Model 5,10.0,0.9627982379777968,0.0001285366423760028,0.9625829187396352,0.9627134508110051,0.9627882862214507,0.9628640065349191,0.9629898403483308
