model,count,mean,std,min,25%,50%,75%,max
Model 1,10.0,0.9916221414832229,0.0002988698007181072,0.991130583458004,0.991558025219064,0.9916648856593288,0.991771746099594,0.991985466980124
Model 2,10.0,0.99224193203676,5.518249406862007e-05,0.992199187860654,0.992199187860654,0.992199187860654,0.992306048300919,0.992306048300919
Model 3,10.0,0.9923915366531311,0.0002405349150976968,0.992092327420389,0.992199187860654,0.9923594785210514,0.9925731994015815,0.992840350502244
Model 4,10.0,0.9920816413763625,0.00022780190860323524,0.991771746099594,0.991985466980124,0.992092327420389,0.9921724727505877,0.992519769181449
Model 5,10.0,0.9922953622568926,0.0006822908707023302,0.9903825603761488,0.992412908741184,0.992412908741184,0.9925999145116478,0.9927334900619792
