model,count,mean,std,min,25%,50%,75%,max
Model 1,10.0,0.9771702826424594,9.376398393385386e-05,0.9769842523832096,0.9771494759327685,0.9772021268466635,0.9772425170428648,0.977260764290978
Model 2,10.0,0.9773076518009967,4.1519599203824986e-05,0.9772655509946322,0.9772655509946322,0.9773169833166676,0.9773193706256906,0.9773708030733608
Model 3,10.0,0.9773984182998694,8.122465737212491e-05,0.9772655509946322,0.9773690165578138,0.9773755653603317,0.9774596388687515,0.9775369561786522
Model 4,10.0,0.9772526259518163,9.025912851379725e-05,0.9771016476285728,0.9772117256986474,0.9772619610928575,0.9772969595382648,0.9774269928966062
Model 5,10.0,0.977324174998115,0.00033633591843706983,0.976401179941003,0.9773731845927172,0.9774000913882852,0.97746438339595,0.977583666596506
